Start programm
Time	Voltage Measurement, V	Подсчет Vout?	 Vout_min	Vout_max	№ Vout 
17.05.22 13:21:07,542	0,0004172859	OFF	3,234	3,366	0
17.05.22 13:21:07,742	0,0004169446	OFF	3,234	3,366	0
17.05.22 13:21:07,942	0,0004277327	OFF	3,234	3,366	0
17.05.22 13:21:08,142	0,0004121204	OFF	3,234	3,366	0
17.05.22 13:21:08,342	0,0004082042	OFF	3,234	3,366	0
17.05.22 13:21:08,542	0,0004207691	OFF	3,234	3,366	0
17.05.22 13:21:08,743	0,0004051538	OFF	3,234	3,366	0
17.05.22 13:21:08,942	0,0003987964	OFF	3,234	3,366	0
17.05.22 13:21:09,142	0,0003903236	OFF	3,234	3,366	0
17.05.22 13:21:09,342	0,000396359	OFF	3,234	3,366	0
17.05.22 13:21:09,542	0,0004239251	OFF	3,234	3,366	0
17.05.22 13:21:09,742	0,0004223952	OFF	3,234	3,366	0
17.05.22 13:21:09,943	0,0004335424	OFF	3,234	3,366	0
17.05.22 13:21:10,191	0,0006190018	OFF	3,234	3,366	0
17.05.22 13:21:10,342	0,0004183517	OFF	3,234	3,366	0
17.05.22 13:21:10,568	0,0009541727	OFF	3,234	3,366	0
17.05.22 13:21:10,742	0,0004144915	OFF	3,234	3,366	0
17.05.22 13:21:10,942	0,0004080262	OFF	3,234	3,366	0
17.05.22 13:21:11,174	0,000615866	OFF	3,234	3,366	0
17.05.22 13:21:11,342	0,0004006862	OFF	3,234	3,366	0
17.05.22 13:21:11,542	0,0004292639	OFF	3,234	3,366	0
17.05.22 13:21:11,742	0,0004288327	OFF	3,234	3,366	0
17.05.22 13:21:11,942	0,0004405033	OFF	3,234	3,366	0
17.05.22 13:21:12,142	0,0004288588	OFF	3,234	3,366	0
17.05.22 13:21:12,342	0,0004254276	OFF	3,234	3,366	0
17.05.22 13:21:12,541	0,000451465	OFF	3,234	3,366	0
17.05.22 13:21:12,741	0,0004478999	OFF	3,234	3,366	0
17.05.22 13:21:12,941	0,0004614386	OFF	3,234	3,366	0
17.05.22 13:21:13,141	0,00044648	OFF	3,234	3,366	0
17.05.22 13:21:13,341	0,000453555	OFF	3,234	3,366	0
17.05.22 13:21:13,541	0,0004702494	OFF	3,234	3,366	0
17.05.22 13:21:13,741	0,00045451	OFF	3,234	3,366	0
17.05.22 13:21:13,942	0,0004462561	OFF	3,234	3,366	0
17.05.22 13:21:14,142	0,0004363725	OFF	3,234	3,366	0
17.05.22 13:21:14,342	0,0004333425	OFF	3,234	3,366	0
17.05.22 13:21:14,542	0,0004626628	OFF	3,234	3,366	0
17.05.22 13:21:14,742	0,0004609603	OFF	3,234	3,366	0
17.05.22 13:21:14,942	0,0004704593	OFF	3,234	3,366	0
17.05.22 13:21:15,142	0,0004582381	OFF	3,234	3,366	0
17.05.22 13:21:15,342	0,0004670586	OFF	3,234	3,366	0
17.05.22 13:21:15,542	0,0004892708	OFF	3,234	3,366	0
17.05.22 13:21:15,742	0,0004723757	OFF	3,234	3,366	0
17.05.22 13:21:15,944	0,0004509559	OFF	3,234	3,366	0
17.05.22 13:21:16,142	0,0004430866	OFF	3,234	3,366	0
17.05.22 13:21:16,342	0,0004471318	OFF	3,234	3,366	0
17.05.22 13:21:16,543	0,0004609615	OFF	3,234	3,366	0
17.05.22 13:21:16,747	0,0006161986	OFF	3,234	3,366	0
17.05.22 13:21:16,943	0,0004827219	OFF	3,234	3,366	0
17.05.22 13:21:17,142	0,0004778575	OFF	3,234	3,366	0
17.05.22 13:21:17,342	0,000686362	OFF	3,234	3,366	0
17.05.22 13:21:17,544	0,0004484265	OFF	3,234	3,366	0
17.05.22 13:21:17,744	0,0004410486	OFF	3,234	3,366	0
17.05.22 13:21:17,944	0,0007500367	OFF	3,234	3,366	0
17.05.22 13:21:18,144	0,0004583403	OFF	3,234	3,366	0
17.05.22 13:21:18,343	0,0006371799	OFF	3,234	3,366	0
17.05.22 13:21:18,542	0,0004579141	OFF	3,234	3,366	0
17.05.22 13:21:18,744	0,0004539427	OFF	3,234	3,366	0
17.05.22 13:21:18,942	0,0007104173	OFF	3,234	3,366	0
17.05.22 13:21:19,142	0,0004770491	OFF	3,234	3,366	0
17.05.22 13:21:19,342	0,0007907745	OFF	3,234	3,366	0
17.05.22 13:21:19,544	0,0004557983	OFF	3,234	3,366	0
17.05.22 13:21:19,744	0,0004472304	OFF	3,234	3,366	0
17.05.22 13:21:19,946	0,0008199637	OFF	3,234	3,366	0
17.05.22 13:21:20,142	0,0004632192	OFF	3,234	3,366	0
17.05.22 13:21:20,344	0,0009113011	OFF	3,234	3,366	0
17.05.22 13:21:20,544	0,000482931	OFF	3,234	3,366	0
17.05.22 13:21:20,744	0,0004698668	OFF	3,234	3,366	0
17.05.22 13:21:20,944	0,0007217675	OFF	3,234	3,366	0
17.05.22 13:21:21,142	0,0004847117	OFF	3,234	3,366	0
17.05.22 13:21:21,342	0,0004998421	OFF	3,234	3,366	0
17.05.22 13:21:21,544	0,000471613	OFF	3,234	3,366	0
17.05.22 13:21:21,744	0,0004579158	OFF	3,234	3,366	0
17.05.22 13:21:21,944	0,0004725995	OFF	3,234	3,366	0
17.05.22 13:21:22,142	0,0004784783	OFF	3,234	3,366	0
17.05.22 13:21:22,344	0,0004761635	OFF	3,234	3,366	0
17.05.22 13:21:22,543	0,000493762	OFF	3,234	3,366	0
17.05.22 13:21:22,744	0,0004838144	OFF	3,234	3,366	0
17.05.22 13:21:22,944	0,0004734147	OFF	3,234	3,366	0
17.05.22 13:21:23,143	0,0004945079	OFF	3,234	3,366	0
17.05.22 13:21:23,344	0,0004595185	OFF	3,234	3,366	0
17.05.22 13:21:23,544	0,000481048	OFF	3,234	3,366	0
17.05.22 13:21:23,744	0,0004685757	OFF	3,234	3,366	0
17.05.22 13:21:23,944	0,000481472	OFF	3,234	3,366	0
17.05.22 13:21:24,144	0,0004765769	OFF	3,234	3,366	0
17.05.22 13:21:24,344	0,0004859717	OFF	3,234	3,366	0
17.05.22 13:21:24,544	0,0005031367	OFF	3,234	3,366	0
17.05.22 13:21:24,744	0,0004921368	OFF	3,234	3,366	0
17.05.22 13:21:24,944	0,0004813205	OFF	3,234	3,366	0
17.05.22 13:21:25,142	0,0004871712	OFF	3,234	3,366	0
17.05.22 13:21:25,342	0,0005110583	OFF	3,234	3,366	0
17.05.22 13:21:25,544	0,0009724045	OFF	3,234	3,366	0
17.05.22 13:21:25,743	0,0004698124	OFF	3,234	3,366	0
17.05.22 13:21:25,943	0,0005173303	OFF	3,234	3,366	0
17.05.22 13:21:26,142	0,0006710482	OFF	3,234	3,366	0
17.05.22 13:21:26,344	0,0004835416	OFF	3,234	3,366	0
17.05.22 13:21:26,543	0,0005363461	OFF	3,234	3,366	0
17.05.22 13:21:26,744	0,0004915833	OFF	3,234	3,366	0
17.05.22 13:21:26,943	0,0004824135	OFF	3,234	3,366	0
17.05.22 13:21:27,145	0,0007916078	OFF	3,234	3,366	0
